objectid,date,title,meeting_type,document_type,location,format
04-23-19-traffic_safety_meeting-agenda,04/23/19,Traffic Safety Meeting - 04/23/19,Traffic Safety Meeting,Agenda PDF,City Hall Conference Room: 1 Municipal P...,application/pdf
04-23-19-traffic_safety_meeting-minutes,04/23/19,Traffic Safety Meeting - 04/23/19,Traffic Safety Meeting,Minutes PDF,City Hall Conference Room: 1 Municipal P...,application/pdf
04-16-19-zoning_board_of_appeals_meeting-agenda,04/16/19,Zoning Board of Appeals Meeting - 04/16/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
04-16-19-zoning_board_of_appeals_meeting-minutes,04/16/19,Zoning Board of Appeals Meeting - 04/16/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
04-15-19-city_council_meeting-agenda,04/15/19,City Council Meeting - 04/15/19,City Council Meeting,Agenda PDF,City Hall,application/pdf
04-15-19-city_council_meeting-minutes,04/15/19,City Council Meeting - 04/15/19,City Council Meeting,Minutes PDF,City Hall,application/pdf
04-09-19-planning_board_meeting-agenda,04/09/19,Planning Board Meeting - 04/09/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
04-09-19-planning_board_meeting-minutes,04/09/19,Planning Board Meeting - 04/09/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
04-08-19-city_council_workshop-agenda,04/08/19,City Council Workshop - 04/08/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-01-19-city_council_meeting-agenda,04/01/19,City Council Meeting - 04/01/19,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
04-01-19-city_council_meeting-minutes,04/01/19,City Council Meeting - 04/01/19,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-26-19-traffic_safety_meeting-agenda,03/26/19,Traffic Safety Meeting - 03/26/19,Traffic Safety Meeting,Agenda PDF,City Hall Conference Room: 1 Municipal P...,application/pdf
03-26-19-traffic_safety_meeting-minutes,03/26/19,Traffic Safety Meeting - 03/26/19,Traffic Safety Meeting,Minutes PDF,City Hall Conference Room: 1 Municipal P...,application/pdf
03-25-19-city_council_workshop-agenda,03/25/19,City Council Workshop - 03/25/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-19-19-zoning_board_of_appeals_meeting-agenda,03/19/19,Zoning Board of Appeals Meeting - 03/19/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
03-19-19-zoning_board_of_appeals_meeting-minutes,03/19/19,Zoning Board of Appeals Meeting - 03/19/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
03-18-19-city_council_meeting-agenda,03/18/19,City Council Meeting - 03/18/19,City Council Meeting,Agenda PDF,City Hall,application/pdf
03-18-19-city_council_meeting-minutes,03/18/19,City Council Meeting - 03/18/19,City Council Meeting,Minutes PDF,City Hall,application/pdf
03-12-19-planning_board_meeting-agenda,03/12/19,Planning Board Meeting - 03/12/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
03-12-19-planning_board_meeting-minutes,03/12/19,Planning Board Meeting - 03/12/19,Planning Board Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
03-11-19-city_council_workshop-agenda,03/11/19,City Council Workshop - 03/11/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-04-19-city_council_meeting-agenda,03/04/19,City Council Meeting - 03/04/19,City Council Meeting,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
03-04-19-city_council_meeting-minutes,03/04/19,City Council Meeting - 03/04/19,City Council Meeting,Minutes PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-25-19-city_council_workshop-agenda,02/25/19,City Council Workshop - 02/25/19,City Council Workshop,Agenda PDF,"One Municipal Plaza, Beacon, NY  12508",application/pdf
02-20-19-zoning_board_of_appeals_meeting-agenda,02/20/19,Zoning Board of Appeals Meeting - 02/20/19,Zoning Board of Appeals Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
02-20-19-zoning_board_of_appeals_meeting-minutes,02/20/19,Zoning Board of Appeals Meeting - 02/20/19,Zoning Board of Appeals Meeting,Minutes PDF,One Municipal Plaza - Courtroom,application/pdf
02-19-19-city_council_meeting-agenda,02/19/19,City Council Meeting - 02/19/19,City Council Meeting,Agenda PDF,1 Municipal Plaza - Courtroom,application/pdf
02-19-19-city_council_meeting-minutes,02/19/19,City Council Meeting - 02/19/19,City Council Meeting,Minutes PDF,1 Municipal Plaza - Courtroom,application/pdf
02-13-19-planning_board_meeting-agenda,02/13/19,Planning Board Meeting - 02/13/19,Planning Board Meeting,Agenda PDF,One Municipal Plaza - Courtroom,application/pdf
